cohort_month,months_since_signup,cohort_size,active_accounts,retention_pct
2023-04-01,8,15,11,73.3
2023-04-01,9,15,12,80.0
2023-04-01,10,15,10,66.7
2023-04-01,11,15,10,66.7
2023-04-01,12,15,10,66.7
2023-04-01,13,15,10,66.7
2023-04-01,14,15,9,60.0
2023-04-01,15,15,11,73.3
2023-04-01,16,15,12,80.0
2023-04-01,17,15,13,86.7
2023-04-01,18,15,11,73.3
2023-04-01,19,15,14,93.3
2023-04-01,20,15,13,86.7
2023-05-01,0,14,13,92.9
2023-05-01,1,14,12,85.7
2023-05-01,2,14,11,78.6
2023-05-01,3,14,12,85.7
2023-05-01,4,14,11,78.6
2023-05-01,5,14,13,92.9
2023-05-01,6,14,14,100.0
2023-05-01,7,14,14,100.0
2023-05-01,8,14,12,85.7
2023-05-01,9,14,14,100.0
2023-05-01,10,14,12,85.7
2023-05-01,11,14,11,78.6
2023-05-01,12,14,13,92.9
2023-05-01,13,14,12,85.7
2023-05-01,14,14,12,85.7
2023-05-01,15,14,12,85.7
2023-05-01,16,14,12,85.7
2023-05-01,17,14,11,78.6
2023-05-01,18,14,10,71.4
2023-05-01,19,14,10,71.4
2023-06-01,0,21,18,85.7
2023-06-01,1,21,18,85.7
2023-06-01,2,21,17,81.0
2023-06-01,3,21,17,81.0
2023-06-01,4,21,15,71.4
2023-06-01,5,21,15,71.4
2023-06-01,6,21,17,81.0
2023-06-01,7,21,17,81.0
2023-06-01,8,21,16,76.2
2023-06-01,9,21,17,81.0
2023-06-01,10,21,17,81.0
2023-06-01,11,21,20,95.2
2023-06-01,12,21,17,81.0
2023-06-01,13,21,18,85.7
2023-06-01,14,21,18,85.7
2023-06-01,15,21,19,90.5
2023-06-01,16,21,19,90.5
2023-06-01,17,21,18,85.7
2023-06-01,18,21,19,90.5
2023-07-01,0,18,14,77.8
2023-07-01,1,18,13,72.2
2023-07-01,2,18,15,83.3
2023-07-01,3,18,15,83.3
2023-07-01,4,18,12,66.7
2023-07-01,5,18,12,66.7
2023-07-01,6,18,16,88.9
2023-07-01,7,18,15,83.3
2023-07-01,8,18,14,77.8
2023-07-01,9,18,14,77.8
2023-07-01,10,18,16,88.9
2023-07-01,11,18,15,83.3
2023-07-01,12,18,16,88.9
2023-07-01,13,18,15,83.3
2023-07-01,14,18,14,77.8
2023-07-01,15,18,15,83.3
2023-07-01,16,18,16,88.9
2023-07-01,17,18,16,88.9
2023-08-01,0,27,22,81.5
2023-08-01,1,27,23,85.2
2023-08-01,2,27,24,88.9
2023-08-01,3,27,25,92.6
2023-08-01,4,27,26,96.3
2023-08-01,5,27,24,88.9
2023-08-01,6,27,25,92.6
2023-08-01,7,27,22,81.5
2023-08-01,8,27,21,77.8
2023-08-01,9,27,20,74.1
2023-08-01,10,27,22,81.5
2023-08-01,11,27,21,77.8
2023-08-01,12,27,21,77.8
2023-08-01,13,27,23,85.2
2023-08-01,14,27,22,81.5
2023-08-01,15,27,22,81.5
2023-08-01,16,27,19,70.4
2023-09-01,0,15,11,73.3
2023-09-01,1,15,12,80.0
2023-09-01,2,15,11,73.3
2023-09-01,3,15,13,86.7
2023-09-01,4,15,14,93.3
2023-09-01,5,15,13,86.7
2023-09-01,6,15,14,93.3
2023-09-01,7,15,12,80.0
2023-09-01,8,15,12,80.0
2023-09-01,9,15,11,73.3
2023-09-01,10,15,13,86.7
2023-09-01,11,15,13,86.7
2023-09-01,12,15,12,80.0
2023-09-01,13,15,11,73.3
2023-09-01,14,15,15,100.0
2023-09-01,15,15,14,93.3
2023-10-01,0,18,15,83.3
2023-10-01,1,18,14,77.8
2023-10-01,2,18,15,83.3
2023-10-01,3,18,13,72.2
2023-10-01,4,18,13,72.2
2023-10-01,5,18,15,83.3
2023-10-01,6,18,14,77.8
2023-10-01,7,18,10,55.6
2023-10-01,8,18,14,77.8
2023-10-01,9,18,16,88.9
2023-10-01,10,18,15,83.3
2023-10-01,11,18,16,88.9
2023-10-01,12,18,15,83.3
2023-10-01,13,18,16,88.9
2023-10-01,14,18,13,72.2
2023-11-01,0,22,14,63.6
2023-11-01,1,22,19,86.4
2023-11-01,2,22,20,90.9
2023-11-01,3,22,21,95.5
2023-11-01,4,22,20,90.9
2023-11-01,5,22,19,86.4
2023-11-01,6,22,21,95.5
2023-11-01,7,22,21,95.5
2023-11-01,8,22,19,86.4
2023-11-01,9,22,19,86.4
2023-11-01,10,22,17,77.3
2023-11-01,11,22,19,86.4
2023-11-01,12,22,18,81.8
2023-11-01,13,22,18,81.8
2023-12-01,0,20,17,85.0
2023-12-01,1,20,18,90.0
2023-12-01,2,20,17,85.0
2023-12-01,3,20,17,85.0
2023-12-01,4,20,17,85.0
2023-12-01,5,20,18,90.0
2023-12-01,6,20,18,90.0
2023-12-01,7,20,17,85.0
2023-12-01,8,20,16,80.0
2023-12-01,9,20,16,80.0
2023-12-01,10,20,16,80.0
2023-12-01,11,20,16,80.0
2023-12-01,12,20,12,60.0
2024-01-01,0,26,19,73.1
2024-01-01,1,26,20,76.9
2024-01-01,2,26,21,80.8
2024-01-01,3,26,22,84.6
2024-01-01,4,26,25,96.2
2024-01-01,5,26,24,92.3
2024-01-01,6,26,24,92.3
2024-01-01,7,26,22,84.6
2024-01-01,8,26,19,73.1
2024-01-01,9,26,19,73.1
2024-01-01,10,26,22,84.6
2024-01-01,11,26,22,84.6
2024-02-01,0,18,14,77.8
2024-02-01,1,18,16,88.9
2024-02-01,2,18,15,83.3
2024-02-01,3,18,14,77.8
2024-02-01,4,18,16,88.9
2024-02-01,5,18,15,83.3
2024-02-01,6,18,16,88.9
2024-02-01,7,18,15,83.3
2024-02-01,8,18,13,72.2
2024-02-01,9,18,14,77.8
2024-02-01,10,18,13,72.2
2024-03-01,0,25,20,80.0
2024-03-01,1,25,18,72.0
2024-03-01,2,25,22,88.0
2024-03-01,3,25,24,96.0
2024-03-01,4,25,23,92.0
2024-03-01,5,25,22,88.0
2024-03-01,6,25,19,76.0
2024-03-01,7,25,21,84.0
2024-03-01,8,25,19,76.0
2024-03-01,9,25,17,68.0
2024-04-01,0,22,19,86.4
2024-04-01,1,22,19,86.4
2024-04-01,2,22,16,72.7
2024-04-01,3,22,19,86.4
2024-04-01,4,22,18,81.8
2024-04-01,5,22,15,68.2
2024-04-01,6,22,16,72.7
2024-04-01,7,22,16,72.7
2024-04-01,8,22,17,77.3
2024-05-01,0,28,24,85.7
2024-05-01,1,28,25,89.3
2024-05-01,2,28,23,82.1
2024-05-01,3,28,23,82.1
2024-05-01,4,28,26,92.9
2024-05-01,5,28,24,85.7
2024-05-01,6,28,19,67.9
2024-05-01,7,28,23,82.1
2024-06-01,0,27,21,77.8
2024-06-01,1,27,25,92.6
2024-06-01,2,27,24,88.9
2024-06-01,3,27,23,85.2
2024-06-01,4,27,22,81.5
2024-06-01,5,27,24,88.9
2024-06-01,6,27,17,63.0
2024-07-01,0,28,24,85.7
2024-07-01,1,28,26,92.9
2024-07-01,2,28,27,96.4
2024-07-01,3,28,25,89.3
2024-07-01,4,28,25,89.3
2024-07-01,5,28,26,92.9
2024-08-01,0,20,19,95.0
2024-08-01,1,20,14,70.0
2024-08-01,2,20,16,80.0
2024-08-01,3,20,17,85.0
2024-08-01,4,20,18,90.0
2024-09-01,0,31,27,87.1
2024-09-01,1,31,28,90.3
2024-09-01,2,31,25,80.6
2024-09-01,3,31,24,77.4
2024-10-01,0,23,18,78.3
2024-10-01,1,23,20,87.0
2024-10-01,2,23,15,65.2
2024-11-01,0,36,31,86.1
2024-11-01,1,36,26,72.2
2024-12-01,0,25,21,84.0
